"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"12/16/2019","12/16/2019","12/16/2019","TRXC","TransEnterix
CUSIP: 89366M300","SPR","1","",""
"12/12/2019","12/12/2019","12/12/2019","TRXC","TransEnterix
CUSIP: 89366M201","SPR","300S","",""
"12/12/2019","12/12/2019","12/12/2019","TRXC","TransEnterix
CUSIP: 89366M300","SPR","23","",""
"12/2/2019","12/2/2019","12/2/2019","","ACH Withdrawal","ACH","","","($5,000.00)"
"11/25/2019","11/25/2019","11/27/2019","ROKU","Roku
CUSIP: 77543R102","Sell","29","$161.00","$4,668.91"
"11/22/2019","11/22/2019","11/25/2019","DIS","DIS 1/17/2020 Call $160.00","STC","1","$1.23","$122.98"
"11/22/2019","11/22/2019","11/26/2019","ROKU","Roku
CUSIP: 77543R102","Buy","29","$154.70","($4,486.16)"
"11/22/2019","11/22/2019","11/26/2019","ROKU","Roku
CUSIP: 77543R102","Sell","29","$160.00","$4,639.90"
"11/21/2019","11/21/2019","11/25/2019","ROKU","Roku
CUSIP: 77543R102","Buy","29","$156.00","($4,524.00)"
"11/21/2019","11/21/2019","11/22/2019","DIS","DIS 1/17/2020 Call $160.00","BTO","1","$1.02","($102.00)"
"11/21/2019","11/21/2019","11/25/2019","ROKU","Roku
CUSIP: 77543R102","Sell","29","$160.00","$4,639.89"
"11/20/2019","11/20/2019","11/22/2019","ROKU","Roku
CUSIP: 77543R102","Buy","29","$156.00","($4,524.00)"
"11/20/2019","11/20/2019","11/22/2019","ROKU","Roku
CUSIP: 77543R102","Sell","25","$159.22","$3,980.53"
"11/19/2019","11/19/2019","11/21/2019","ROKU","Roku
CUSIP: 77543R102","Buy","14","$155.00","($2,170.00)"
"11/19/2019","11/19/2019","11/21/2019","ROKU","Roku
CUSIP: 77543R102","Buy","1","$155.00","($155.00)"
"11/18/2019","11/18/2019","11/20/2019","ROKU","Roku
CUSIP: 77543R102","Buy","10","$155.00","($1,550.00)"
"11/18/2019","11/18/2019","11/19/2019","DIS","DIS 1/17/2020 Call $160.00","STC","1","$1.55","$154.98"
"11/18/2019","11/18/2019","11/20/2019","ROKU","Roku
CUSIP: 77543R102","Sell","10","$159.90","$1,598.95"
"11/15/2019","11/15/2019","11/18/2019","DIS","DIS 1/17/2020 Call $160.00","BTO","1","$0.97","($97.00)"
"11/14/2019","11/14/2019","11/18/2019","NFLX","Netflix
CUSIP: 64110L106","Sell","1","$289.43","$289.41"
"11/11/2019","11/11/2019","11/13/2019","OKTA","Okta
CUSIP: 679295105","Sell","22","$112.00","$2,463.93"
"11/7/2019","11/7/2019","11/12/2019","FIT","Fitbit
CUSIP: 33812L102","Sell","15","$6.98","$104.68"
